gene_id	gene_name	gene_type	SRR8114380	SRR8114381	SRR8114382	SRR8114383	SRR8114384	SRR8114385
ENSG00000143772.9	ITPKB	protein_coding	1	1	0	0	0	0	0
ENSG00000143870.12	PDIA6	protein_coding	0	0	0	0	0	0	1
ENSG00000144218.19	AFF3	protein_coding	1	1	2	5	10	2	6
ENSG00000144283.21	PKP4	protein_coding	0	0	1	0	0	0	0
ENSG00000144357.16	UBR3	protein_coding	0	0	0	0	0	1	0
ENSG00000144426.18	NBEAL1	protein_coding	1	1	0	0	0	0	0
ENSG00000144476.6	ACKR3	protein_coding	0	0	1	0	0	0	0
ENSG00000144560.15	VGLL4	protein_coding	0	0	0	1	0	0	0
ENSG00000144579.7	CTDSP1	protein_coding	3	3	7	4	5	5	4
ENSG00000144642.22	RBMS3	protein_coding	0	0	0	0	1	0	0
ENSG00000144644.14	GADL1	protein_coding	4	4	1	4	3	0	6
ENSG00000145147.20	SLIT2	protein_coding	0	0	0	1	0	0	0
ENSG00000145321.13	GC	protein_coding	0	0	0	2	0	0	0
ENSG00000145349.17	CAMK2D	protein_coding	0	0	0	0	1	0	0
ENSG00000145536.15	ADAMTS16	protein_coding	1	1	0	0	0	0	0
ENSG00000145555.15	MYO10	protein_coding	0	0	0	0	0	0	1
ENSG00000145703.16	IQGAP2	protein_coding	0	0	0	1	0	0	0
ENSG00000146067.16	FAM193B	protein_coding	0	0	0	0	1	0	0
ENSG00000146247.14	PHIP	protein_coding	1	1	2	1	1	1	1
ENSG00000146267.12	FAXC	protein_coding	6	6	8	10	9	8	12
ENSG00000146540.15	C7orf50	protein_coding	0	0	0	1	0	0	0
ENSG00000146733.14	PSPH	protein_coding	0	0	0	1	0	0	0
ENSG00000146904.9	EPHA1	protein_coding	1	1	1	0	0	1	0
ENSG00000146918.20	NCAPG2	protein_coding	0	0	0	1	0	0	0
ENSG00000147202.18	DIAPH2	protein_coding	0	0	1	1	1	1	2
ENSG00000147753.9	TTTY7	lncRNA	66	66	81	95	91	31	68
ENSG00000147761.8	TTTY7B	lncRNA	0	0	0	0	1	0	0
ENSG00000147789.15	ZNF7	protein_coding	0	0	0	0	0	0	1
ENSG00000148248.14	SURF4	protein_coding	0	0	1	0	0	0	0
ENSG00000148341.17	SH3GLB2	protein_coding	1	1	0	0	0	0	0
ENSG00000148400.12	NOTCH1	protein_coding	0	0	1	2	1	0	2
ENSG00000148468.17	FAM171A1	protein_coding	2	2	0	3	6	3	2
ENSG00000148773.14	MKI67	protein_coding	0	0	0	1	0	0	0
ENSG00000148832.16	PAOX	protein_coding	0	0	0	1	1	1	1
ENSG00000149212.12	SESN3	protein_coding	0	0	1	0	0	0	0
ENSG00000149243.15	KLHL35	protein_coding	0	0	0	0	1	0	0
ENSG00000150907.9	FOXO1	protein_coding	0	0	0	0	0	0	1
ENSG00000150995.19	ITPR1	protein_coding	1	1	2	1	0	0	0
ENSG00000151067.22	CACNA1C	protein_coding	2	2	3	5	3	2	6
ENSG00000151224.13	MAT1A	protein_coding	0	0	0	1	0	0	0
ENSG00000151240.17	DIP2C	protein_coding	0	0	1	2	1	2	2
ENSG00000151376.16	ME3	protein_coding	1	1	0	0	0	0	0
ENSG00000151623.15	NR3C2	protein_coding	0	0	0	1	0	0	0
ENSG00000151655.19	ITIH2	protein_coding	0	0	0	0	1	0	0
ENSG00000151726.14	ACSL1	protein_coding	0	0	0	0	1	0	0
ENSG00000152078.10	TLCD4	protein_coding	0	0	1	1	0	1	0
ENSG00000152217.19	SETBP1	protein_coding	1	1	2	5	3	4	4
ENSG00000152409.9	JMY	protein_coding	0	0	0	1	0	1	1
ENSG00000152601.17	MBNL1	protein_coding	0	0	0	0	0	0	1
ENSG00000152782.16	PANK1	protein_coding	0	0	1	0	0	0	0
ENSG00000152804.11	HHEX	protein_coding	4	4	6	4	6	1	8
ENSG00000153012.12	LGI2	protein_coding	0	0	1	0	0	0	0
ENSG00000153147.6	SMARCA5	protein_coding	0	0	0	0	0	2	1
ENSG00000153246.13	PLA2R1	protein_coding	0	0	0	1	0	0	0
ENSG00000153551.14	CMTM7	protein_coding	0	0	3	5	1	1	3
ENSG00000153832.12	FBXO36	protein_coding	0	0	0	0	1	0	0
ENSG00000154642.11	C21orf91	protein_coding	0	0	0	1	1	0	0
ENSG00000154655.15	L3MBTL4	protein_coding	0	0	0	1	1	0	0
ENSG00000155100.11	OTUD6B	protein_coding	0	0	0	0	1	0	0
ENSG00000155330.10	C16orf87	protein_coding	0	0	0	0	0	1	0
ENSG00000155657.26	TTN	protein_coding	0	0	4	6	1	2	6
ENSG00000156650.14	KAT6B	protein_coding	1	1	0	0	0	0	0
ENSG00000156711.17	MAPK13	protein_coding	0	0	0	0	0	1	0
ENSG00000157193.18	LRP8	protein_coding	1	1	1	0	2	0	2
ENSG00000157322.17	CLEC18A	protein_coding	0	0	1	0	0	0	0
ENSG00000157350.13	ST3GAL2	protein_coding	0	0	0	0	1	0	0
ENSG00000157540.21	DYRK1A	protein_coding	0	0	1	0	0	0	0
ENSG00000157542.11	KCNJ6	protein_coding	0	0	0	0	1	0	0
ENSG00000157557.13	ETS2	protein_coding	0	0	0	0	1	0	0
ENSG00000157613.11	CREB3L1	protein_coding	1	1	0	2	1	0	1
ENSG00000157741.15	UBN2	protein_coding	2	2	2	3	2	0	3
ENSG00000157765.13	SLC34A2	protein_coding	0	0	0	1	0	0	0
ENSG00000157827.20	FMNL2	protein_coding	0	0	0	0	0	0	1
ENSG00000158104.11	HPD	protein_coding	3	3	3	2	6	2	7
ENSG00000158158.12	CNNM4	protein_coding	1	1	1	2	3	0	1
ENSG00000158290.16	CUL4B	protein_coding	1	1	2	1	2	0	2
ENSG00000158457.6	TSPAN33	protein_coding	0	0	0	0	0	0	1
ENSG00000158467.16	AHCYL2	protein_coding	2	2	3	4	3	3	5
ENSG00000158486.13	DNAH3	protein_coding	1	1	0	0	1	0	0
ENSG00000159200.18	RCAN1	protein_coding	1	1	2	2	2	1	4
ENSG00000159479.17	MED8	protein_coding	1	1	0	0	0	0	0
ENSG00000159579.14	RSPRY1	protein_coding	2	2	0	3	1	1	3
ENSG00000160194.18	NDUFV3	protein_coding	0	0	1	2	0	0	0
ENSG00000160209.19	PDXK	protein_coding	0	0	0	1	0	0	0
ENSG00000160551.11	TAOK1	protein_coding	0	0	0	0	0	0	1
ENSG00000160613.13	PCSK7	protein_coding	0	0	0	2	0	1	1
ENSG00000160781.17	PAQR6	protein_coding	0	0	0	1	0	0	0
ENSG00000160789.20	LMNA	protein_coding	0	0	0	1	0	0	0
ENSG00000160796.17	NBEAL2	protein_coding	0	0	0	1	0	0	0
ENSG00000160870.14	CYP3A7	protein_coding	10	10	23	18	17	7	11
ENSG00000161944.16	ASGR2	protein_coding	0	0	1	0	1	0	1
ENSG00000162040.7	HS3ST6	protein_coding	0	0	0	1	0	0	0
ENSG00000162069.16	BICDL2	protein_coding	0	0	0	1	3	0	0
ENSG00000162367.11	TAL1	protein_coding	1	1	3	3	5	1	2
ENSG00000162402.14	USP24	protein_coding	0	0	0	0	1	0	0
ENSG00000162426.14	SLC45A1	protein_coding	1	1	1	0	1	0	1
ENSG00000162438.12	CTRC	protein_coding	0	0	0	0	1	0	0
ENSG00000162512.16	SDC3	protein_coding	0	0	0	0	1	0	0
ENSG00000162601.11	MYSM1	protein_coding	0	0	0	1	0	0	0
ENSG00000162614.18	NEXN	protein_coding	1	1	2	5	5	0	3
ENSG00000162702.8	ZNF281	protein_coding	0	0	1	0	0	0	0
ENSG00000162735.18	PEX19	protein_coding	0	0	0	0	0	0	1
ENSG00000162779.22	AXDND1	protein_coding	0	0	0	0	0	1	0
ENSG00000162849.16	KIF26B	protein_coding	0	0	0	1	0	0	0
ENSG00000162971.11	TYW5	protein_coding	0	0	0	1	0	0	0
ENSG00000163046.15	ANKRD30BL	protein_coding	14	14	34	22	17	16	25
ENSG00000163171.7	CDC42EP3	protein_coding	10	10	20	18	22	9	23
ENSG00000163399.16	ATP1A1	protein_coding	1	1	0	0	0	1	0
ENSG00000163424.9	TEX55	protein_coding	0	0	1	0	0	0	0
ENSG00000163431.13	LMOD1	protein_coding	0	0	0	0	0	0	1
ENSG00000163507.14	CIP2A	protein_coding	0	0	0	1	0	0	0
ENSG00000163508.13	EOMES	protein_coding	0	0	1	0	0	0	0
ENSG00000163519.14	TRAT1	protein_coding	0	0	0	0	0	0	1
ENSG00000163608.15	NEPRO	protein_coding	2	2	4	11	8	3	5
ENSG00000163625.15	WDFY3	protein_coding	1	1	2	2	1	0	1
ENSG00000163631.17	ALB	protein_coding	1	1	0	0	0	3	0
ENSG00000163884.4	KLF15	protein_coding	1	1	3	4	5	2	3
ENSG00000163900.11	TMEM41A	protein_coding	0	0	0	0	1	0	0
ENSG00000163913.11	IFT122	protein_coding	0	0	0	0	1	0	0
ENSG00000164022.17	AIMP1	protein_coding	0	0	0	0	0	0	1
ENSG00000164038.16	SLC9B2	protein_coding	2	2	6	8	6	2	2
ENSG00000164114.19	MAP9	protein_coding	0	0	0	0	0	0	1
ENSG00000164144.16	ARFIP1	protein_coding	7	7	8	7	4	4	7
ENSG00000164303.11	ENPP6	protein_coding	5	5	7	13	7	2	3
ENSG00000164363.10	SLC6A18	protein_coding	17	17	19	12	13	3	13
ENSG00000164509.15	IL31RA	protein_coding	0	0	1	0	0	0	0
ENSG00000164707.15	SLC13A4	protein_coding	0	0	0	1	0	0	0
ENSG00000164715.6	LMTK2	protein_coding	0	0	0	1	1	1	1
ENSG00000164733.21	CTSB	protein_coding	1	1	0	0	2	0	0
ENSG00000164916.11	FOXK1	protein_coding	0	0	1	0	0	0	0
ENSG00000164983.7	TMEM65	protein_coding	0	0	1	0	0	0	1
ENSG00000165119.21	HNRNPK	protein_coding	10	10	18	12	22	11	20
ENSG00000165194.15	PCDH19	protein_coding	2	2	6	8	3	2	0
ENSG00000165240.20	ATP7A	protein_coding	0	0	0	1	0	0	0
ENSG00000165280.16	VCP	protein_coding	0	0	0	0	1	0	0
ENSG00000165490.13	DDIAS	protein_coding	0	0	0	1	0	0	0
ENSG00000165527.7	ARF6	protein_coding	0	0	0	0	1	0	0
ENSG00000165660.8	ABRAXAS2	protein_coding	0	0	1	0	0	0	0
ENSG00000165804.16	ZNF219	protein_coding	0	0	0	0	0	1	0
ENSG00000165821.12	SALL2	protein_coding	0	0	0	0	1	0	0
ENSG00000165861.14	ZFYVE1	protein_coding	3	3	7	6	8	6	6
ENSG00000165934.13	CPSF2	protein_coding	1	1	3	4	2	0	2
ENSG00000166046.11	TCP11L2	protein_coding	0	0	1	0	0	0	0
ENSG00000166111.10	SVOP	protein_coding	0	0	0	0	0	0	1
ENSG00000166183.16	ASPG	protein_coding	0	0	0	1	0	0	0
ENSG00000166233.15	ARIH1	protein_coding	0	0	0	0	1	0	0
ENSG00000166446.15	CDYL2	protein_coding	1	1	2	1	3	0	3
ENSG00000166510.14	CCDC68	protein_coding	1	1	0	0	0	0	0
ENSG00000166747.12	AP1G1	protein_coding	4	4	2	10	10	1	3
ENSG00000166813.15	KIF7	protein_coding	7	7	13	7	14	8	8
ENSG00000166938.13	DIS3L	protein_coding	1	1	4	3	3	1	1
ENSG00000166963.13	MAP1A	protein_coding	0	0	1	0	0	0	0
ENSG00000167081.18	PBX3	protein_coding	0	0	0	0	0	0	1
ENSG00000167525.13	PROCA1	protein_coding	0	0	0	0	0	1	0
ENSG00000167548.15	KMT2D	protein_coding	2	2	1	5	5	1	6
ENSG00000167615.16	LENG8	protein_coding	0	0	0	1	2	0	4
ENSG00000167720.13	SRR	protein_coding	1	1	0	0	0	0	0
ENSG00000168079.17	SCARA5	protein_coding	2	2	2	3	1	1	4
ENSG00000168135.4	KCNJ4	protein_coding	0	0	2	4	6	1	4
ENSG00000168303.9	MPLKIP	protein_coding	0	0	0	1	0	0	0
ENSG00000168310.11	IRF2	protein_coding	0	0	0	0	0	0	1
ENSG00000168621.15	GDNF	protein_coding	0	0	0	1	0	1	0
ENSG00000168631.13	MUCL3	protein_coding	39	39	52	64	65	21	53
ENSG00000168658.19	VWA3B	protein_coding	2	2	2	2	0	0	0
ENSG00000168813.17	ZNF507	protein_coding	0	0	0	0	1	0	0
ENSG00000168874.13	ATOH8	protein_coding	0	0	1	0	0	0	0
ENSG00000168917.9	SLC35G2	protein_coding	2	2	5	3	2	1	1
ENSG00000168944.15	CEP120	protein_coding	3	3	2	2	2	1	0
ENSG00000169006.7	NTSR2	protein_coding	0	0	0	1	0	0	0
ENSG00000169136.11	ATF5	protein_coding	0	0	0	0	0	0	1
ENSG00000169223.15	LMAN2	protein_coding	0	0	0	1	0	0	0
ENSG00000169710.9	FASN	protein_coding	0	0	1	0	1	0	1
ENSG00000169926.11	KLF13	protein_coding	0	0	0	1	2	0	2
ENSG00000169981.11	ZNF35	protein_coding	85	85	126	170	138	81	120
ENSG00000170209.5	ANKK1	protein_coding	0	0	0	1	1	0	1
ENSG00000170214.5	ADRA1B	protein_coding	0	0	0	0	0	1	1
ENSG00000170456.16	DENND5B	protein_coding	0	0	1	0	0	0	0
ENSG00000170615.15	SLC26A5	protein_coding	0	0	0	0	0	0	1
ENSG00000170927.15	PKHD1	protein_coding	1	1	3	2	0	3	3
ENSG00000170989.9	S1PR1	protein_coding	0	0	1	2	0	0	0
ENSG00000171105.14	INSR	protein_coding	4	4	12	11	18	1	7
ENSG00000171206.14	TRIM8	protein_coding	0	0	0	0	0	0	1
ENSG00000171303.7	KCNK3	protein_coding	0	0	0	0	2	0	0
ENSG00000171587.15	DSCAM	protein_coding	0	0	9	3	4	3	4
ENSG00000171634.18	BPTF	protein_coding	16	16	32	25	17	10	20
ENSG00000172037.14	LAMB2	protein_coding	6	6	15	16	11	2	15
ENSG00000172059.11	KLF11	protein_coding	1	1	2	2	2	0	2
ENSG00000172115.8	CYCS	protein_coding	5	5	4	3	2	4	3
ENSG00000172137.19	CALB2	protein_coding	11	11	23	30	23	9	18
ENSG00000172188.5	OR4C11	protein_coding	0	0	0	0	0	0	1
ENSG00000172216.6	CEBPB	protein_coding	0	0	0	1	0	0	0
ENSG00000172269.19	DPAGT1	protein_coding	1	1	0	0	0	0	0
ENSG00000172349.17	IL16	protein_coding	0	0	0	0	0	0	1
ENSG00000172379.21	ARNT2	protein_coding	0	0	4	4	4	0	1
ENSG00000172460.17	PRSS30P	transcribed_unitary_pseudogene	0	0	0	0	0	0	1
ENSG00000172638.13	EFEMP2	protein_coding	0	0	0	0	0	0	1
ENSG00000172733.11	PURG	protein_coding	0	0	0	0	0	0	1
ENSG00000173013.6	CCDC96	protein_coding	3	3	4	3	1	3	1
ENSG00000173020.11	GRK2	protein_coding	0	0	0	1	0	0	0
ENSG00000173120.15	KDM2A	protein_coding	0	0	2	2	1	0	0
ENSG00000173418.12	NAA20	protein_coding	0	0	0	1	0	0	0
ENSG00000173442.13	EHBP1L1	protein_coding	1	1	1	0	0	0	1
ENSG00000174151.14	CYB561D1	protein_coding	0	0	0	1	0	0	0
ENSG00000174227.16	PIGG	protein_coding	0	0	0	1	0	0	0
ENSG00000174332.5	GLIS1	protein_coding	1	1	3	3	1	3	1
ENSG00000174473.16	GALNTL6	protein_coding	0	0	0	0	0	1	0
ENSG00000174871.11	CNIH2	protein_coding	1	1	2	2	4	2	0
ENSG00000175065.12	DSG4	protein_coding	5	5	5	4	1	1	3
ENSG00000175161.13	CADM2	protein_coding	3	3	6	5	2	0	3
ENSG00000175216.15	CKAP5	protein_coding	167	167	278	305	327	151	237
ENSG00000175348.11	TMEM9B	protein_coding	0	0	0	0	1	0	0
ENSG00000175445.17	LPL	protein_coding	2	2	2	5	4	1	4
ENSG00000175592.9	FOSL1	protein_coding	2	2	1	2	2	0	1
ENSG00000176108.9	CHMP6	protein_coding	0	0	1	0	0	0	0
ENSG00000176728.9	TTTY14	lncRNA	0	0	1	0	0	0	0
ENSG00000176749.9	CDK5R1	protein_coding	3	3	10	21	10	9	6
ENSG00000176887.7	SOX11	protein_coding	0	0	1	0	0	0	0
ENSG00000177103.15	DSCAML1	protein_coding	4	4	1	2	2	1	4
ENSG00000177234.7	LINC01561	lncRNA	0	0	0	0	0	1	0
ENSG00000177380.14	PPFIA3	protein_coding	2	2	2	4	1	1	2
ENSG00000177694.16	NAALADL2	protein_coding	0	0	0	1	0	0	0
ENSG00000177707.11	NECTIN3	protein_coding	0	0	0	0	0	0	1
ENSG00000177738.4	AC025171.1	lncRNA	1	1	0	0	0	0	0
ENSG00000177888.7	ZBTB41	protein_coding	2	2	2	6	2	3	10
ENSG00000178031.17	ADAMTSL1	protein_coding	2	2	5	3	6	2	0
ENSG00000178199.14	ZC3H12D	protein_coding	0	0	1	0	0	0	0
ENSG00000178597.7	PSAPL1	protein_coding	4	4	3	5	2	2	1
ENSG00000178741.12	COX5A	protein_coding	0	0	0	0	0	0	1
ENSG00000178752.16	ERFE	protein_coding	0	0	1	0	0	0	0
ENSG00000178982.10	EIF3K	protein_coding	0	0	0	2	0	0	0
ENSG00000179094.16	PER1	protein_coding	0	0	0	1	0	2	1
ENSG00000179111.9	HES7	protein_coding	1	1	0	0	1	0	1
ENSG00000179151.13	EDC3	protein_coding	0	0	0	0	0	1	0
ENSG00000179314.14	WSCD1	protein_coding	0	0	0	1	0	0	0
ENSG00000179331.3	RAB39A	protein_coding	0	0	1	3	2	1	0
ENSG00000179918.19	SEPHS2	protein_coding	0	0	1	0	0	0	0
ENSG00000179965.12	ZNF771	protein_coding	0	0	0	0	0	0	1
ENSG00000180096.12	SEPTIN1	protein_coding	0	0	1	0	0	0	0
ENSG00000180210.14	F2	protein_coding	0	0	5	2	4	0	3
ENSG00000180712.4	LINC02363	lncRNA	0	0	0	1	0	0	0
ENSG00000180730.4	SHISA2	protein_coding	0	0	0	0	0	1	0
ENSG00000180900.19	SCRIB	protein_coding	1	1	5	9	6	2	8
ENSG00000181027.11	FKRP	protein_coding	5	5	6	9	10	4	10
ENSG00000181325.7	OR9G3P	unprocessed_pseudogene	2	2	5	5	5	4	1
ENSG00000181409.14	AATK	protein_coding	0	0	2	0	1	0	0
ENSG00000182197.11	EXT1	protein_coding	0	0	0	0	0	0	1
ENSG00000182324.6	KCNJ14	protein_coding	0	0	1	1	0	0	1
ENSG00000182389.19	CACNB4	protein_coding	3	3	2	5	2	2	5
ENSG00000182473.22	EXOC7	protein_coding	0	0	1	0	0	0	0
ENSG00000182489.9	XKRX	protein_coding	0	0	0	1	0	0	0
ENSG00000182578.13	CSF1R	protein_coding	0	0	0	0	0	0	1
ENSG00000182674.6	KCNB2	protein_coding	0	0	0	0	1	0	0
ENSG00000182700.5	IGIP	protein_coding	0	0	0	0	1	0	0
ENSG00000182899.17	RPL35A	protein_coding	0	0	1	0	0	0	0
ENSG00000182934.12	SRPRA	protein_coding	0	0	0	0	0	0	1
ENSG00000183166.11	CALN1	protein_coding	0	0	0	0	0	0	1
ENSG00000183307.4	TMEM121B	protein_coding	1	1	0	0	0	0	0
ENSG00000183454.17	GRIN2A	protein_coding	9	9	10	15	14	6	11
ENSG00000183666.17	GUSBP1	transcribed_unprocessed_pseudogene	0	0	0	0	0	0	1
ENSG00000183688.4	RFLNB	protein_coding	0	0	0	0	0	1	0
ENSG00000184216.14	IRAK1	protein_coding	0	0	0	1	0	1	1
ENSG00000184232.9	OAF	protein_coding	0	0	0	0	0	0	1
ENSG00000184347.14	SLIT3	protein_coding	0	0	0	1	0	0	0
ENSG00000184402.15	SS18L1	protein_coding	0	0	0	1	0	0	0
ENSG00000184497.13	TMEM255B	protein_coding	1	1	3	4	2	0	3
ENSG00000184507.16	NUTM1	protein_coding	1	1	1	6	2	2	3
ENSG00000184640.18	SEPTIN9	protein_coding	0	0	0	1	0	0	0
ENSG00000184661.14	CDCA2	protein_coding	1	1	0	0	0	0	0
ENSG00000184698.5	OR51M1	protein_coding	0	0	0	1	0	0	0
ENSG00000185187.13	SIGIRR	protein_coding	0	0	0	0	0	0	1
ENSG00000185236.12	RAB11B	protein_coding	3	3	5	1	5	3	1
ENSG00000185324.22	CDK10	protein_coding	4	4	2	6	3	2	0
ENSG00000185507.21	IRF7	protein_coding	1	1	1	1	2	0	1
ENSG00000185551.15	NR2F2	protein_coding	0	0	0	0	1	0	0
ENSG00000185650.9	ZFP36L1	protein_coding	6	6	9	15	9	1	9
ENSG00000185728.17	YTHDF3	protein_coding	0	0	0	0	0	1	0
ENSG00000185933.6	CALHM1	protein_coding	94	94	127	159	132	57	125
ENSG00000185950.9	IRS2	protein_coding	0	0	0	0	0	0	1
ENSG00000185985.10	SLITRK2	protein_coding	2	2	1	4	3	0	3
ENSG00000185989.11	RASA3	protein_coding	1	1	0	0	0	0	0
ENSG00000186283.14	TOR3A	protein_coding	1	1	0	1	3	0	3
ENSG00000186417.14	GLDN	protein_coding	1	1	3	3	3	1	3
ENSG00000186487.19	MYT1L	protein_coding	0	0	0	0	0	0	1
ENSG00000186575.18	NF2	protein_coding	0	0	2	1	0	1	2
ENSG00000186615.11	KTN1-AS1	lncRNA	2	2	2	1	3	1	6
ENSG00000186765.11	FSCN2	protein_coding	0	0	0	0	0	0	1
ENSG00000186976.15	EFCAB6	protein_coding	0	0	2	1	0	1	0
ENSG00000187605.15	TET3	protein_coding	14	14	15	16	20	8	15
ENSG00000187764.11	SEMA4D	protein_coding	2	2	3	5	2	1	5
ENSG00000187775.16	DNAH17	protein_coding	2	2	1	6	1	3	3
ENSG00000187889.13	FYB2	protein_coding	0	0	0	0	0	1	0
ENSG00000187908.19	DMBT1	protein_coding	0	0	0	1	0	0	0
ENSG00000188037.12	CLCN1	protein_coding	0	0	0	0	0	0	1
ENSG00000188338.15	SLC38A3	protein_coding	1	1	1	0	0	0	0
ENSG00000188385.12	JAKMIP3	protein_coding	0	0	0	1	2	0	1
ENSG00000188452.14	CERKL	protein_coding	0	0	1	0	0	0	0
ENSG00000188559.15	RALGAPA2	protein_coding	0	0	0	0	0	1	0
ENSG00000188677.14	PARVB	protein_coding	0	0	0	1	0	0	0
ENSG00000188738.15	FSIP2	protein_coding	7	7	11	10	9	4	5
ENSG00000188779.12	SKOR1	protein_coding	0	0	1	0	0	0	0
ENSG00000188883.5	KLRG2	protein_coding	0	0	0	1	0	1	1
ENSG00000189007.16	ADAT2	protein_coding	0	0	0	0	0	0	1
ENSG00000189060.5	H1F0	protein_coding	0	0	0	1	0	0	0
ENSG00000189308.11	LIN54	protein_coding	1	1	4	8	4	6	6
ENSG00000196123.13	KIAA0895L	protein_coding	0	0	0	0	0	0	1
ENSG00000196267.12	ZNF836	protein_coding	0	0	0	0	1	0	0
ENSG00000196405.13	EVL	protein_coding	0	0	1	0	0	0	0
ENSG00000196428.12	TSC22D2	protein_coding	0	0	0	0	1	0	0
ENSG00000196498.13	NCOR2	protein_coding	0	0	0	0	1	0	0
ENSG00000196502.11	SULT1A1	protein_coding	3	3	7	8	8	3	5
ENSG00000196511.14	TPK1	protein_coding	0	0	2	0	0	0	0
ENSG00000196663.16	TECPR2	protein_coding	0	0	0	0	0	0	1
ENSG00000196712.17	NF1	protein_coding	1	1	0	0	0	0	0
ENSG00000196975.16	ANXA4	protein_coding	2	2	9	10	5	2	7
ENSG00000196998.19	WDR45	protein_coding	0	0	0	1	0	0	0
ENSG00000197102.12	DYNC1H1	protein_coding	3	3	1	1	5	3	0
ENSG00000197114.11	ZGPAT	protein_coding	0	0	0	1	0	0	0
ENSG00000197766.8	CFD	protein_coding	0	0	1	0	0	0	0
ENSG00000198363.18	ASPH	protein_coding	1	1	0	0	0	0	0
ENSG00000198650.11	TAT	protein_coding	0	0	0	0	0	1	0
ENSG00000198663.16	C6orf89	protein_coding	0	0	0	0	1	0	0
ENSG00000198668.12	CALM1	protein_coding	0	0	0	0	0	1	0
ENSG00000198720.13	ANKRD13B	protein_coding	0	0	1	3	0	0	0
ENSG00000198727.2	MT-CYB	protein_coding	0	0	0	1	0	0	0
ENSG00000198728.10	LDB1	protein_coding	0	0	0	0	0	0	1
ENSG00000198792.13	TMEM184B	protein_coding	0	0	0	0	0	0	1
ENSG00000198848.12	CES1	protein_coding	78	78	127	138	133	59	114
ENSG00000198862.14	LTN1	protein_coding	0	0	0	1	0	0	0
ENSG00000198911.12	SREBF2	protein_coding	0	0	0	0	0	1	0
ENSG00000198973.4	MIR375	miRNA	28	28	55	60	63	32	52
ENSG00000198974.3	MIR30E	miRNA	4	4	6	5	3	5	11
ENSG00000199030.2	MIRLET7C	miRNA	4	4	3	11	7	0	4
ENSG00000199047.3	MIR378A	miRNA	0	0	0	1	0	0	0
ENSG00000199082.1	MIR342	miRNA	10	10	28	36	31	13	31
ENSG00000199085.3	MIR148A	miRNA	58	58	88	108	110	45	97
ENSG00000199107.3	MIR409	miRNA	3	3	4	2	1	1	2
ENSG00000199121.4	MIR26B	miRNA	1	1	0	3	7	0	2
ENSG00000199122.3	MIR148B	miRNA	10	10	28	37	28	12	24
ENSG00000199150.3	MIRLET7G	miRNA	1	1	0	0	3	0	1
ENSG00000199153.1	MIR30D	miRNA	39	39	49	57	52	25	51
ENSG00000199161.1	MIR126	miRNA	14	14	12	16	18	13	10
ENSG00000199179.3	MIRLET7I	miRNA	42	42	64	77	73	25	69
ENSG00000199200.2	Y_RNA	misc_RNA	8	8	7	18	10	5	7
ENSG00000199260.1	RNU6-874P	snRNA	0	0	0	0	0	0	1
ENSG00000199350.1	RNA5SP432	rRNA_pseudogene	0	0	0	0	1	0	0
ENSG00000199368.1	RNU6-1084P	snRNA	1	1	0	0	0	0	0
ENSG00000199515.1	Y_RNA	misc_RNA	0	0	0	0	1	2	0
ENSG00000199753.1	SNORD104	snoRNA	31	31	59	87	65	31	61
ENSG00000199804.1	RNA5SP383	rRNA_pseudogene	1	1	0	1	0	1	0
ENSG00000199805.1	RNU1-134P	snRNA	0	0	1	0	0	0	0
ENSG00000199812.1	RNU6-428P	snRNA	0	0	1	0	0	0	1
ENSG00000199843.1	RNA5SP358	rRNA_pseudogene	0	0	0	1	0	0	1
ENSG00000199874.1	RNA5SP452	rRNA_pseudogene	0	0	0	0	1	0	0
ENSG00000200064.1	RNY4P9	misc_RNA	1	1	1	2	1	0	2
ENSG00000200156.1	RNU5B-1	snRNA	0	0	0	0	0	0	1
ENSG00000200171.1	Y_RNA	misc_RNA	3	3	2	2	0	0	2
ENSG00000200211.1	RNY4P27	misc_RNA	44	44	51	68	42	23	52
ENSG00000200225.1	RNA5SP382	rRNA_pseudogene	0	0	0	0	1	0	0
ENSG00000200468.1	RNA5SP403	rRNA_pseudogene	0	0	0	0	1	0	0
ENSG00000200537.1	RNY4P6	misc_RNA	8	8	13	14	17	11	17
ENSG00000200615.1	Y_RNA	misc_RNA	0	0	0	0	1	0	0
ENSG00000200681.1	RNU6-263P	snRNA	0	0	1	0	0	0	0
ENSG00000200795.1	RNU4-1	snRNA	69	69	106	127	106	53	106
ENSG00000200877.1	RNU6-560P	snRNA	0	0	0	0	1	0	0
ENSG00000200913.1	SNORD46	snoRNA	0	0	1	0	0	0	0
ENSG00000201059.1	RNA5SP336	rRNA_pseudogene	1	1	4	4	7	3	3
ENSG00000201321.1	RNA5S9	rRNA	3	3	5	7	6	3	8
ENSG00000201356.1	RNA5SP500	rRNA_pseudogene	0	0	0	0	1	0	0
ENSG00000201372.1	RNU6-1251P	snRNA	1	1	0	0	0	0	0
ENSG00000201377.1	RNY4P23	misc_RNA	2	2	2	1	1	0	2
ENSG00000201386.1	RNU6-1163P	snRNA	0	0	1	0	0	0	0
ENSG00000201415.1	RNA5SP204	rRNA_pseudogene	3	3	5	5	6	3	2
ENSG00000201457.1	SNORA55	snoRNA	0	0	1	0	0	0	0
ENSG00000201548.1	Y_RNA	misc_RNA	1	1	3	2	0	2	2
